feature,domin_s,high_s,total
brain_compactness_25%,0.10516756636325324,0.042206240431414487,0.30466237276407304
brain_compactness_50%,0.025608520947594325,0.24219796375972893,0.13344426336617662
brain_compactness_75%,0.014033608594271604,0.2758754124017471,0.07493979441184301
brain_compactness_count,0.6174151371990693,0.7225669214495901,0.6042872677281855
brain_compactness_max,0.11304366542686027,0.7554283529999023,0.8442878067196318
brain_compactness_mean,0.019777937932783086,0.2310274758447421,0.13857384895829436
brain_compactness_min,0.2884607593822926,0.0015629298724422458,0.14122627919861386
brain_compactness_std,0.02952723090356275,0.5164146914488698,0.29462353636303323
brain_convexity_25%,0.3981497796283764,0.03539207677328776,0.22111916460196665
brain_convexity_50%,0.04307424810744421,0.2193594971582318,0.061769616212585955
brain_convexity_75%,0.019778653915166616,0.26692355050112143,0.06531701286211068
brain_convexity_count,0.6174151371990693,0.7225669214495901,0.6042872677281855
brain_convexity_max,0.16470013550117746,0.23582438766181518,0.2556099080173743
brain_convexity_mean,0.0660784840202064,0.07239393520120137,0.07592890129915449
brain_convexity_min,0.4053368726990005,0.002347002367039972,0.22473178792312345
brain_convexity_std,0.03026942137365902,0.679377505180192,0.11473734318932263
brain_solidity_25%,0.05172502576717449,0.20721410673638588,0.3674021624661826
brain_solidity_50%,0.004043006760036763,0.42488670031358006,0.06762569140353995
brain_solidity_75%,0.005592889819429698,0.7205576081276447,0.205896769995108
brain_solidity_count,0.6174151371990693,0.7225669214495901,0.6042872677281855
brain_solidity_max,0.006706580637323588,0.9179357976106405,0.5039599374127651
brain_solidity_mean,0.005293282708822574,0.3525838065051686,0.1521736298214244
brain_solidity_min,0.08590792409351526,0.2698375078578532,0.26181216732821716
brain_solidity_std,0.09169404375603879,0.4860271419507901,0.4724734462426229
convex_overlap_25%,0.2765319954786423,0.6675915637899985,0.34850721885018965
convex_overlap_50%,0.0674946354508052,0.3251696909428043,0.17959915125341597
convex_overlap_75%,0.0635357289155841,0.12447142361377504,0.14804797664976294
convex_overlap_count,0.6174151371990693,0.7225669214495901,0.6042872677281855
