summary,whole_brain_area,whole_tumor_area,invasion_count_cnt,invasion_count_min_area,invasion_count_max_area,invasion_count_med_area,delaunay_score_min,delaunay_score_quartile1,delaunay_score_median,delaunay_score_quartile3,delaunay_score_max,tumor_components_cnt,tumor_components_min_area,tumor_components_max_area,tumor_components_med_area,interface_ellipse_eccent_quants_0.1,interface_ellipse_eccent_quants_0.5,interface_ellipse_eccent_quants_0.9,interface_ellipse_area_quants_0.1,interface_ellipse_area_quants_0.5,interface_ellipse_area_quants_0.9,cooccurrence_mat_0,cooccurrence_mat_1,cooccurrence_mat_2,cooccurrence_mat_3,cooccurrence_mat_4,cooccurrence_mat_5,cooccurrence_mat_6,brain_compactness,brain_convexity,brain_solidity,convex_overlap,filled_overlap_cnt,filled_overlap_min_area,filled_overlap_max_area,filled_overlap_med_area,case
count,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,1
mean,409635.9976687507,356723.88410684874,2.3703703703703702,2.2599028912655736,2.5232786914914773,2.2872412217385496,175.41993417555003,225.9992014301322,289.3763901833309,413.5261947931241,907.1386469469304,51.629629629629626,26.83535650704029,3171.6317601606047,164.48139738959523,0.0038195751063374297,0.006660424305880961,0.016301824600245717,155.7450549612105,690.428280819713,2427.11350486278,0.30515400716630886,0.08559022390102385,0.077448334957698,0.06150186692066621,0.08026130840789428,0.0909188485322041,0.29912541011420474,0.05331228115239039,0.34122801649383366,0.5865963666233311,0.18450105526004454,28.703703703703702,112.41859767902463,324.09247553526075,147.69805156832555,1
std,359181.43964803545,364273.3914469735,4.962537720439072,4.901374548391617,5.009681202723811,4.8990953186747745,524.158242508965,512.1220593189953,502.5891357462769,496.22266630411644,516.7613687752954,64.81698978849731,36.214839690156644,3541.6306074468475,117.94417357295576,0.0009576798823915872,0.0013655348341969824,0.007410768583144443,223.10770551213048,528.6065165612886,2587.5086698859686,0.11568714710889486,0.02315005468443802,0.039183532862576614,0.03378757420019036,0.03186750095994493,0.030157494773648492,0.13526813575409127,0.038991347649158514,0.11513095348915432,0.11692801235077775,0.18499846346241922,48.00385786965846,96.35507939139232,270.32029029372995,129.77510015632834,1
min,3088.6380367894976,678.0008282974675,0.0,0.0,0.0,0.0,2.7592573165893555,11.709318161010742,18.545955657958984,32.5450439453125,117.96754455566406,1.0,0.37373825214549994,42.78028879388206,3.2518059287053536,0.002245039358769071,0.004529186450144039,0.007067526396015979,6.837852771545378,21.375987644965818,51.01569612042,0.11411411411411411,0.042,0.008695652173913044,0.012547051442910916,0.018,0.020075282308657464,0.11328745367919534,0.011867279166562108,0.19449874657016267,0.35614208224980376,0.012447241551531839,0.0,0.0,0.0,0.0,1
25%,146459.9102189215,62146.189277435544,0.0,0.0,0.0,0.0,15.852571487426758,56.54166793823242,100.35994720458984,171.82135391235352,583.2011413574219,15.5,9.005339263562131,698.228498394492,94.99117262969122,0.003332611229327667,0.00585725910398916,0.011384317273958128,43.015864169954355,274.0049678653385,909.3085568836561,0.2259122046693695,0.06763909677367298,0.05795897177097745,0.03867643755615453,0.05816023849173308,0.0813055338676364,0.21121929154964048,0.028556604387567894,0.2591271980399876,0.4857358658029539,0.06866168494377967,3.0,8.512651560186217,118.68227033547855,14.926836142907009,1
50%,261642.5484651499,216028.11464662864,0.0,0.0,0.0,0.0,26.272287368774414,76.75912475585938,144.7138671875,275.81817626953125,949.2881469726562,29.0,16.0371187923375,2158.265970841338,151.47057869061803,0.0036153592464252073,0.006408198825993555,0.014090531289851613,72.80211696188172,604.6793248826586,1851.7225243048852,0.3025669033315128,0.08726415094339622,0.07234726688102894,0.056630824372759854,0.08255451713395638,0.09074733096085409,0.27816091954022987,0.04489954076548396,0.32818355092543644,0.5772548050457809,0.1592727201364183,8.0,94.823908173524,257.90599651563156,116.58387217603044,1
75%,623464.2761232243,498342.7189541932,1.0,0.6278061986198163,1.4213834448170193,0.6920609072080157,48.41620445251465,120.77994918823242,195.67244720458984,443.7998962402344,1177.6795654296875,52.0,28.142423718288974,3958.6561404838685,215.41754461262957,0.004382967164634605,0.0072906499271606015,0.019189833698104935,148.4181328069506,1044.7185762055217,2503.2401201709745,0.3765368183835237,0.10112758423898036,0.08949498610607708,0.07188540366208906,0.10411377906864056,0.1122394249905494,0.3492753623188406,0.06982137147944689,0.3883635395059784,0.6572987148227549,0.23544419087422866,20.5,187.87091892282558,493.8041734386622,253.07190973582,1
max,1274895.508262097,1349515.0752968013,21.0,16.33410247367708,16.33410247367708,16.33410247367708,2044.2159053843136,2044.2159053843136,2044.2159053843136,2044.2159053843136,2044.2159053843136,281.0,163.12834767112113,15764.179663111843,436.1597443905108,0.005702466419578168,0.010971739674501269,0.03894869080406592,986.7682660359987,1788.953570577948,9272.426071895534,0.5943012211668928,0.13851351351351351,0.1741662255161461,0.13760337849727255,0.13043478260869565,0.14622641509433962,0.686,0.21185357892702092,0.7527485676162461,0.8738537691031931,0.9632372335935852,174.0,295.1846291191716,853.7205252255234,489.87919001050165,1
count,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,2
mean,183864.0981488584,165843.30174096662,2.25,2.627232042124123,2.864133806633789,2.700608488809906,98.25474799726489,134.23496037278653,174.89428738806726,235.75568036292077,566.1275402710247,45.625,9.636749263069966,1351.6452277965743,76.23629949356825,0.003519087020743092,0.006319057142326977,0.013436517891698183,62.340185757370854,313.620406529131,1013.3668608800813,0.3174218512305703,0.06973132125486858,0.05649854214735639,0.04808901496209628,0.07165505230487829,0.0757173982043601,0.3608868198958701,0.04602800005557869,0.32278164076920435,0.535298639496822,0.20167808306933405,24.75,56.510641455943684,128.78044122651005,68.21237105998301,2
