summary,mask_perimeter,mask_area,mask_compactness,mask_convexity,mask_solidity,bending_energy,total_abs_curv,nearest_boundary_score_slope,nearest_boundary_score_err,convex_overlap,surroundedness_degree,case
count,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,1
mean,343.0002490067482,1806.13,0.2475633466945087,0.6607417892870044,0.6649989974313922,3.407270899577037,1.0747916630817536,156.39810607549657,17.924702448810095,0.05407235016088846,0.1517860692267406,1
std,539.8355048196541,4241.686784866262,0.1428254034079753,0.1527057396177702,0.13919413209778062,0.9398035967919376,0.18309443257622796,41.362964171494184,22.736327566040437,0.10009538986752506,0.3021211120561342,1
min,72.18376553058624,186.0,0.028143745304626683,0.2862724724364675,0.39120425498134476,1.2391115174613285,0.6185010536754906,72.206406896526,0.5046008703401396,0.0,0.0,1
25%,108.07894906401634,273.5,0.1316215515352517,0.5418420013606033,0.5618628755619066,2.7274309506084675,0.9392837779553904,123.2627545674859,3.467532308490991,0.0,0.0,1
50%,138.61017167568207,455.0,0.23503700208646539,0.6955115236197026,0.6584719423613282,3.4255423830265865,1.0793992862397612,153.82211819003396,8.400121619880197,0.004439365200151445,0.0,1
75%,335.86247873306274,1109.25,0.33828454848478057,0.7628711111487013,0.7784058068009662,4.135667275431633,1.2165971550666355,182.13263110311703,24.9601213685193,0.059046052631578944,0.0,1
max,3435.0217559337616,27780.0,0.7500516757779673,0.9447577127722486,0.9592233009708738,5.80816447118563,1.4697054740803732,293.0556895219453,110.60467557781534,0.65625,0.82123950635418,1
count,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,2
mean,304.5968822491169,3630.2,0.44194806881903353,0.7961781735885728,0.8561081976717613,3.2523063733088677,1.0558668817609442,136.82388523634938,17.904458195084725,0.0675702986651877,0.12480930637266432,2
std,1403.9056451923836,24633.054858802378,0.2019397453467164,0.14436095133074175,0.17508981534715057,1.2958285049332374,0.26979515553810224,48.835575257370756,24.837647896771635,0.1569129449842636,0.27250377007022497,2
min,30.38477599620819,58.0,0.01629627888670751,0.2176096544315868,0.40727674358754395,0.9084522232820885,0.4405892136132027,63.074296469191694,0.16767648036408045,0.0,0.0,2
25%,46.49137753248215,90.75,0.2982763695047457,0.7298112476463513,0.752380190359568,2.2832743877311135,0.8628872798530494,102.4897063161468,3.176116912371282,0.0,0.0,2
50%,62.76955199241638,131.0,0.44195975708801005,0.8231073752551017,0.8682266291543722,3.268918196476071,1.1046795906916282,130.46676637188494,7.4633023943396495,0.0,0.0,2
75%,93.24011445045471,249.5,0.580339189648663,0.9123490513873836,1.0023364485981308,4.186504069241847,1.2337296150034913,156.36838716844832,18.861735012006974,0.04331642836775428,0.0,2
max,11837.693895936012,234691.0,0.9278291400167811,0.9866862018566654,1.1904761904761905,6.294390561919234,1.6669675304762166,299.129949351065,115.12109770224521,0.8888888888888888,0.7734930234266113,2
count,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,3
mean,421.6666672670841,1868.07,0.18455525860720723,0.5940058111093982,0.6034629276324215,3.4688779964583483,1.1068312415330102,93.56610615270465,4.977156353057455,0.28434981729895425,0.3457322828785243,3
std,482.36169110021865,2750.5602450622987,0.10991800530932597,0.1350050095854151,0.11334312999385737,0.8425413860502351,0.17389156830449587,35.3133131692396,4.744098639722161,0.2471627539341425,0.3780031756223711,3
min,94.91168737411499,365.0,0.018783079773795584,0.2535518490217806,0.3638790035587189,0.920739748814862,0.37537412221201577,60.1101535480235,0.4139522354315373,0.0,0.0,3
25%,172.43428751826286,525.0,0.1030932461187963,0.5080825102268965,0.5239307631698683,3.000088520166887,1.0105598651323144,72.6288233922808,1.7819551608639355,0.077051565830464,0.0,3
50%,252.3000335097313,772.5,0.16133088676507606,0.6059677034280404,0.6029682890855457,3.443947875100195,1.1172504643054908,83.97791383256839,3.761941251577837,0.21725692785475395,0.0,3
75%,423.77416610717773,1679.25,0.23578127216491301,0.6843615244238647,0.67816867360789,3.908799916441557,1.2037020044982154,97.46966004160105,6.710076297805283,0.471186072651101,0.754394430255584,3
max,2596.6815744638443,12913.0,0.5607851802313599,0.8932126979862346,0.9009661835748792,5.79378062096659,1.5487758175407627,258.0384565414385,29.05207970238932,0.8369098712446352,0.8976338790382897,3
count,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,4
mean,190.87228952884675,1488.22,0.4547111361432787,0.7837633636228867,0.8704868542217199,3.6964387884244134,1.1392556245351957,170.3052205798142,18.468928695561843,0.07601369951486847,0.0879012750696538,4
std,461.2202594347362,6639.775363700494,0.2427871378200828,0.15259327283236596,0.19733963479840663,1.53771844498885,0.2967611567085942,75.62137105980915,19.460075801895595,0.1578190462579143,0.2402162348575651,4
min,28.727921843528748,52.0,0.058443047286719264,0.3268033352912132,0.4547081990691013,0.8350046406409443,0.48847934552768124,60.00035222423065,0.881718689671417,0.0,0.0,4
25%,41.748736917972565,72.0,0.26298379238934416,0.6926224685437993,0.7185016195764603,2.737167122161653,0.9349079159772253,102.50744922013982,4.0235969707431956,0.0,0.0,4
50%,59.5979790687561,123.5,0.4220979222751903,0.8295107016340189,0.871018257521325,3.6416557485864676,1.128751725189221,158.6476235085067,9.106094722653038,0.0,0.0,4
75%,117.614482909441,299.75,0.64253452104498,0.907189224762921,1.0317225950782998,4.5155331747644825,1.305240785290072,233.12352234816095,31.632427239388164,0.05988234445461933,0.0,4
max,3461.5558075904846,55727.0,1.012174817464838,0.9812768468573698,1.2,8.654596283531008,2.103745080528879,376.8692099929905,69.57356501493291,0.7272727272727273,0.7925916165976388,4
count,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,5
